soru;secenek_a;secenek_b;secenek_c;secenek_d;secenek_e;dogru_cevap;zorluk
SHT-İHA Talimatı'na göre İHA0 sınıfındaki İHA'nın ekipman, sistem ve faydalı yük bileşenleriyle donatılması konusunda aşağıdakilerden hangisi doğrudur?;İHA işleticisinin/sahibinin/pilotunun ya da imalatçısının seçimine bağlıdır.;Çakar lamba ve uçuş kayıt sistemi zorunludur.;Genel Müdürlük tarafından her yıl belirlenir.;Yalnızca üçüncü şahıs mali mesuliyet sigortası zorunludur.;;A;orta
Aşağıdakilerden hangisi İHA1 sınıfındaki bir İHA'nın donatılmış olması gereken zorunlu teçhizat ve sistem bileşenlerinden biri değildir?;Komuta ve kontrol veri bağının kesilmesi durumunda acil durum iniş veya uçuş sonlandırma kabiliyeti;Batarya gücü/yakıt seviyesinin devamlı izlenebilmesi;Çakar lamba;Paraşütlü kurtarma sistemi;;D;orta
İHA ve sistemlerinin bakım ve onarımlarının, üreticilerin yayımladığı el kitaplarına göre yapılmasından kim sorumludur?;Genel Müdürlük;İHA pilotu;İthalatçı firma;Mülki idare amiri;;B;kolay
SHT-İHA Talimatı'na göre bakım ve onarım faaliyetleri kapsamında yapılan iş ve işlemler kaç yıl boyunca kayıt altında saklanır?;1 yıl;2 yıl;3 yıl;5 yıl;;C;kolay
SHT-İHA Talimatı'na göre üçüncü şahıs mali mesuliyet sigortası yaptırılması zorunlu olan İHA'lar aşağıdakilerden hangisinde doğru olarak verilmiştir?;Yalnızca 150 kg üstü İHA'lar;Yalnızca devlet insansız hava araçları;Yalnızca sportif amaçla kullanılan İHA'lar;25 kg üstü İHA'lar ile ağırlığına bakılmaksızın ticari faaliyet gerçekleştiren İHA'lar;;D;orta
Ülkemizde üretimi yapılan her bir İHA'nın Kayıt Sistemi'ne kaydı ne zaman ve kim tarafından yapılır?;Üreticisi tarafından aynı gün içerisinde;Satın alan kişi tarafından 3 gün içerisinde;Genel Müdürlük tarafından 10 iş günü içerisinde;İHA pilotu tarafından ilk uçuştan önce;;A;orta
Yurtdışından bireysel olarak getirilen veya yurt içinde devir alınan bir İHA, en geç kaç gün içerisinde Kayıt Sistemi'ne kayıt edilir?;Aynı gün;3 gün;5 gün;10 gün;;B;orta
SHT-İHA Talimatı'na göre İHA0 ve İHA1 uçuracak kişiler için lisans düzenlenmesi konusunda aşağıdakilerden hangisi doğrudur?;Genel Müdürlükçe 3 yıl süreli lisans düzenlenir.;EASA tarafından lisans düzenlenir.;"Genel Müdürlükçe herhangi bir lisans düzenlenmez; ancak internet tabanlı Kayıt Sistemi'ne kayıt olmak zorunludur.";Yalnızca askeri makamlarca lisans düzenlenir.;;C;kolay
SHT-İHA Talimatı'na göre İHA0 sınıfı pilotlar en az kaç yaşında olmalıdır?;12;15;18;21;;A;kolay
SHT-İHA Talimatı'na göre İHA1 sınıfı pilotlar en az kaç yaşında olmalıdır?;12;16;18;15;;D;kolay
İHA0 ve İHA1 kategorisindeki hava araçlarını ticari amaçla kullanacak pilotların EK-3'te yer alan eğitimleri tamamlamaları hâlinde yetkili eğitim kuruluşu tarafından düzenlenen belge aşağıdakilerden hangisidir?;İHA2 Pilot Lisansı;İnsansız Hava Aracı Ticari Pilot Sertifikası;Sportif Havacılık Ruhsatı;R/T Telsizle Haberleşme Sertifikası;;B;orta
18 yaşın altındaki İHA pilotlarının üçüncü şahıslara verdikleri zararlardan hukuki ve cezai sorumluluk kime aittir?;İHA üreticisine;Genel Müdürlüğe;Kanuni mümessiline;Yetkili eğitim kuruluşuna;;C;orta
Ticari nitelikli uçuş yapacak İHA0 ve İHA1 kategori pilotlarından, diğer gerekliliklere ek olarak aşağıdakilerden hangisi istenir?;B sınıfı sürücü olur sağlık raporu gereksinimlerini karşılayan sağlık raporu;1'inci Sınıf Sağlık Sertifikası;Havacılık tıp merkezi onaylı uçucu sağlık raporu;Psikoteknik değerlendirme raporu;;A;orta
İHA2 Pilot Lisansı düzenlenebilmesi için İHA ve sistemlerinin üreticisinden veya yetkili temsilcisinden alınması gereken asgari uçuş eğitimi süresi kaç saattir?;3 saat;12 saat;24 saat;36 saat;;D;zor
İHA2 Pilot Lisansı düzenlenebilmesi için Genel Müdürlük veya EASA üyesi bir ülke tarafından düzenlenmiş asgari hangi sağlık sertifikasına sahip olunması gerekir?;1'inci Sınıf Sağlık Sertifikası;2'nci Sınıf Sağlık Sertifikası;3'üncü Sınıf Sağlık Sertifikası;B sınıfı sürücü sağlık raporu;;B;zor
İHA0 ve İHA1 sınıfı İHA'lar ile ticari faaliyetler dışında sportif ve amatör amaçla serbest (yeşil) bölgelerde gerçekleştirilecek uçuşlarda Genel Müdürlükten uçuş izni nasıl alınır?;Kayıt sistemi tarafından otomatik verilir.;10 iş günü öncesinden dilekçe ile başvurulur.;Mülki idare amirinden yazılı izin alınır.;NOTAM yayımlanması beklenir.;;A;orta
Özel izne tabi (kırmızı) bölgelerde yapılacak her türlü uçuş için İHA Uçuş İzni Talep Formu ile kaç iş günü öncesinden başvuru yapılır?;3 iş günü;5 iş günü;10 iş günü;20 iş günü;;C;orta
Özel izne tabi (kırmızı) bölge tanımına göre, irtifaya bağlı olmaksızın havalimanlarında en yakında bulunan pistin kenarından itibaren risk analizi ve izin olmadan uçuş yapılması yasak olan mesafe aşağıdakilerden hangisidir?;1 NM (2 km);3 NM (5 km);10 NM (18 km);5 NM (9 km);;D;orta
İHA0 ve İHA1 sınıfı İHA'lar ile serbest (yeşil) bölgelerde yapılacak uçuşlarda yerden (AGL) çıkılabilecek azami yükseklik aşağıdakilerden hangisidir?;400 feet (120 metre);500 feet (150 metre);300 feet (90 metre);1000 feet (300 metre);;A;kolay
Serbest (yeşil) bölgelerde yapılacak uçuşlarda İHA ile insan ve yapılardan en az kaç metre uzaklıkta uçuş gerçekleştirilmelidir?;10 metre;25 metre;50 metre;100 metre;;C;kolay
